Sl.No,State/UT,No. of Cases,Area Diverted (in Hectare)
1,Andaman and Nicobar Islands,94,2579.29
2,Andhra Pradesh,359,26271.95
3,Arunachal Pradesh,202,19159.3
4,Assam,243,3937.4
5,Bihar,194,5974.58
6,Chandigarh,33,90.77
7,Chhattisgarh,431,85424.21
8,Dadar and Nagar Haveli,150,276.53
9,Daman and Diu,1,3.95
10,Delhi,15,42.21
11,Goa,87,2065.34
12,Gujarat,1452,65751.63
13,Haryana,3394,7260.05
14,Himachal Pradesh,1469,12935.73
15,Jammu and Kashmir,7,656.45
16,Jharkhand,333,22155.94
17,Karnataka,766,46041.06
18,Kerala,227,40765.63
19,Lakshadweep,0,0
20,Madhya Pradesh,1037,249708.4
21,Maharashtra,1410,61615.64
22,Manipur,39,3203.17
23,Meghalaya,97,772.77
24,Mizoram,24,6237.48
25,Nagaland,0,0
26,Orissa,508,50182.8
27,Pondicherry,1,0.96
28,Punjab,4170,68872.63
29,Rajasthan,691,28112.68
30,Sikkim,405,2764.88
31,Tamil Nadu,476,2586.37
32,Telangana,241,27542.55
33,Tripura,321,7909.38
34,Uttar Pradesh,926,19556.64
35,Uttarakhand,4260,43233.42
36,West Bengal,115,4520.91
Grand Total,Grand Total,24178,918212.76
